Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498
major+greedy,105.0,107.53399999999999,110.896,114.51899999999999,118.389,121.869,125.681,129.118,132.91899999999998,136.35399999999998,140.158,143.595,147.39,150.82,154.61,158.04,161.828,165.255,169.03599999999997,172.46400000000003,176.243,179.665,183.442,186.86000000000007,190.63300000000007,194.04900000000006,197.81700000000006,201.23500000000007,205.00000000000009,208.42100000000005,212.17600000000004,215.5960000000001,219.34800000000007,222.76900000000006,226.51200000000009,229.93000000000006,233.67400000000006,237.09200000000007,240.83000000000007,244.24800000000005,247.98400000000007,251.39500000000007,255.12300000000005,258.54000000000013,262.26900000000006,265.68500000000006,269.40800000000013,272.81700000000006,276.5250000000001,279.9290000000001,283.6370000000001,287.0430000000001,290.7520000000001,294.1560000000001,297.85000000000014,301.2520000000001,304.9480000000001,308.3460000000001,312.0380000000001,315.4350000000001,319.1140000000001,322.5120000000001,326.1970000000001,329.5900000000001,333.2670000000001,336.6660000000001,340.3470000000001,343.74800000000016,347.4230000000002,350.81600000000014,354.4900000000002,357.8840000000001,361.55100000000016,364.9440000000001,368.61300000000017,372.00300000000016,375.66600000000017,379.05900000000014,382.71900000000016,386.10900000000015,389.7660000000001,393.1440000000002,396.7980000000002,400.18300000000016,403.83200000000016,407.21300000000014,410.86400000000015,414.24800000000016,417.89000000000016,421.25800000000004,424.89599999999996,428.26300000000003,431.89599999999996,435.26,438.89599999999996,442.265,445.892,449.2549999999998,452.8849999999998,456.2479999999998,459.86999999999983,463.2289999999999,466.84799999999984,470.2099999999999,473.81699999999984,477.1689999999999,480.77399999999983,484.1289999999999,487.73099999999977,491.08099999999985,494.68299999999977,498.03899999999976,501.63299999999975,504.97899999999976,508.56999999999977,511.91799999999984,515.5049999999999,518.8509999999999,522.4389999999997,525.7889999999999,529.3729999999998,532.7219999999999,536.3009999999998,539.6419999999997,543.2189999999996,546.5629999999996,550.1419999999995,553.4869999999995,557.0609999999996,560.3999999999995,563.9729999999995,567.3139999999995,570.8849999999994,574.2199999999996,577.7839999999994,581.1219999999995,584.6879999999994,588.0229999999996,591.5859999999997,594.9259999999996,598.4869999999995,601.8169999999997,605.3739999999996,608.7089999999995,612.2619999999994,615.5899999999996,619.1429999999995,622.4709999999992,626.0139999999992,629.3369999999992,632.8809999999993,636.1999999999992,639.7389999999994,643.0529999999992,646.5929999999993,649.9079999999992,653.4399999999993,656.7409999999992,660.2679999999992,663.5709999999992,667.0989999999993,670.4039999999992,673.9379999999992,677.2399999999992,680.7629999999994,684.0679999999992,687.5949999999992,690.8999999999992,694.4209999999993,697.7129999999993,701.2369999999993,704.5369999999994,708.0549999999993,711.3519999999993,714.8739999999992,718.1669999999992,721.6769999999992,724.9639999999993,728.4709999999992,731.7589999999992,735.2589999999992,738.5379999999992,742.0379999999992,745.3219999999992,748.8179999999992,752.0969999999991,755.5869999999991,758.8679999999989,762.3619999999991,765.6359999999991,769.1279999999989,772.4029999999991,775.8849999999991,779.1529999999991,782.6349999999991,785.9099999999991,789.3859999999991,792.6579999999991,796.1349999999991,799.4119999999991,802.8889999999991,806.1619999999991,809.6399999999991,812.9179999999991,816.3899999999991,819.6619999999991,823.1379999999991,826.4089999999991,829.8779999999989,833.1529999999991,836.6249999999991,839.898999999999,843.3649999999991,846.6349999999991,850.0979999999989,853.3689999999989,856.8359999999989,860.0979999999988,863.5659999999988,866.8309999999989,870.2919999999988,873.553999999999,877.018999999999,880.278999999999,883.7429999999989,886.994999999999,890.4479999999987,893.7029999999987,897.1599999999988,900.408999999999,903.8579999999988,907.1019999999987,910.5399999999988,913.7719999999988,917.1999999999988,920.4309999999988,923.8589999999988,927.0839999999988,930.5089999999988,933.7409999999987,937.1669999999988,940.3919999999988,943.8139999999988,947.0409999999988,950.4609999999988,953.6879999999987,957.1069999999988,960.3329999999988,963.7419999999988,966.9679999999988,970.3809999999988,973.6079999999988,977.0179999999988,980.2429999999988,983.6539999999987,986.8839999999988,990.2869999999988,993.5099999999987,996.9089999999987,1000.1339999999988,1003.5379999999988,1006.7599999999987,1010.1579999999988,1013.3799999999987,1016.7729999999988,1019.9919999999988,1023.3839999999988,1026.603999999999,1029.9929999999988,1033.2129999999988,1036.5979999999988,1039.813999999999,1043.199999999999,1046.410999999999,1049.7899999999988,1052.998999999999,1056.3779999999988,1059.5819999999987,1062.9559999999988,1066.158999999999,1069.5319999999988,1072.735999999999,1076.1039999999991,1079.2979999999989,1082.655999999999,1085.853999999999,1089.2139999999988,1092.411999999999,1095.7669999999991,1098.9529999999988,1102.3019999999988,1105.493999999999,1108.839999999999,1112.026999999999,1115.368999999999,1118.5519999999988,1121.896999999999,1125.0779999999988,1128.4179999999988,1131.5969999999988,1134.930999999999,1138.1009999999987,1141.437999999999,1144.6129999999991,1147.9439999999988,1151.1159999999988,1154.4499999999991,1157.618999999999,1160.946999999999,1164.110999999999,1167.4349999999988,1170.6059999999989,1173.915999999999,1177.0759999999989,1180.397999999999,1183.562999999999,1186.876999999999,1190.040999999999,1193.3559999999989,1196.522999999999,1199.831999999999,1202.9999999999989,1206.3079999999989,1209.474999999999,1212.7799999999988,1215.9389999999992,1219.2409999999988,1222.3959999999988,1225.6929999999988,1228.848999999999,1232.1439999999989,1235.3049999999992,1238.5939999999991,1241.7479999999991,1245.041999999999,1248.2029999999988,1251.494999999999,1254.655999999999,1257.9489999999992,1261.1139999999994,1264.405999999999,1267.5679999999988,1270.8619999999992,1274.0249999999992,1277.3149999999991,1280.474999999999,1283.763999999999,1286.9309999999991,1290.2199999999993,1293.376999999999,1296.658999999999,1299.8159999999993,1303.0949999999993,1306.2409999999988,1309.5269999999991,1312.687999999999,1315.9679999999992,1319.117999999999,1322.3949999999988,1325.5519999999992,1328.821999999999,1331.9719999999993,1335.2429999999995,1338.3949999999995,1341.6629999999996,1344.8169999999996,1348.0869999999995,1351.2419999999993,1354.5019999999995,1357.6579999999994,1360.9179999999994,1364.0699999999995,1367.3279999999995,1370.4709999999995,1373.7329999999995,1376.8879999999995,1380.1499999999994,1383.2969999999993,1386.5569999999993,1389.7029999999993,1392.9609999999993,1396.0979999999995,1399.3459999999993,1402.4799999999993,1405.7309999999993,1408.8629999999994,1412.0989999999995,1415.2269999999994,1418.4569999999994,1421.5809999999994,1424.8129999999994,1427.9359999999995,1431.1609999999994,1434.2809999999995,1437.5059999999994,1440.6199999999994,1443.8409999999994,1446.95,1450.1670000000001,1453.2839999999999,1456.505,1459.616,1462.839,1465.953,1469.17,1472.287,1475.509,1478.625,1481.846,1484.9589999999998,1488.1789999999999,1491.2980000000002,1494.5150000000006,1497.6330000000007,1500.8510000000006,1503.9660000000006,1507.1860000000006,1510.3010000000006,1513.5170000000005,1516.6300000000006,1519.8450000000007,1522.9540000000006,1526.1640000000007,1529.2710000000006,1532.4800000000007,1535.583000000001,1538.787000000001,1541.885000000001,1545.0810000000008,1548.181000000001,1551.375000000001,1554.469000000001,1557.669000000001,1560.769000000001,1563.962000000001,1567.063000000001,1570.2590000000012,1573.3510000000015,1576.5400000000013,1579.6380000000013,1582.8290000000013,1585.9280000000015,1589.1190000000015,1592.2160000000015,1595.4110000000014,1598.5060000000014,1601.6890000000014,1604.7860000000014,1607.9730000000013,1611.0650000000014,1614.2420000000013,1617.3330000000014,1620.517000000002,1623.6080000000018,1626.7830000000022,1629.8710000000021,1633.0530000000022,1636.1400000000021,1639.3140000000021,1642.4030000000018,1645.5730000000021,1648.6600000000021,1651.8300000000022,1654.9110000000023,1658.0770000000025,1661.1540000000025,1664.3160000000025,1667.3890000000024,1670.5500000000022,1673.6250000000025,1676.7740000000024,1679.8450000000025,1682.9990000000025,1686.0710000000024,1689.2200000000025,1692.2880000000025,1695.4350000000031,1698.4950000000028,1701.6360000000027,1704.6980000000028,1707.8440000000028,1710.9090000000028,1714.0410000000031,1717.103000000003,1720.236000000003,1723.293000000003,1726.423000000003,1729.477000000003,1732.6030000000032,1735.6560000000034,1738.785000000003,1741.833000000003,1744.9600000000034,1748.0080000000034,1751.1380000000033,1754.1850000000034,1757.3130000000033,1760.3590000000033,1763.4770000000033
major+lin_grd,105.0,107.46,110.698,114.223,117.977,121.476,125.15700000000001,128.55100000000002,132.17600000000002,135.563,139.162,142.51,146.064,149.39700000000002,152.918,156.219,159.72299999999998,163.017,166.489,169.767,173.21900000000002,176.47,179.898,183.13400000000001,186.55000000000007,189.78100000000006,193.19200000000006,196.42400000000006,199.81700000000006,203.05000000000007,206.44200000000006,209.66200000000006,213.05200000000005,216.27000000000007,219.64700000000005,222.86000000000007,226.21800000000005,229.41500000000005,232.77800000000005,235.9710000000001,239.33200000000005,242.53700000000006,245.88500000000005,249.07900000000006,252.42400000000006,255.61600000000007,258.95200000000006,262.14100000000013,265.47100000000006,268.64600000000013,271.9670000000001,275.13700000000006,278.45200000000006,281.6220000000001,284.9260000000001,288.0980000000001,291.4070000000001,294.57100000000014,297.86700000000013,301.0380000000001,304.3320000000001,307.5000000000001,310.8060000000001,313.9690000000001,317.2620000000001,320.4230000000001,323.7140000000001,326.86900000000014,330.1540000000001,333.3130000000001,336.5980000000001,339.7550000000001,343.04000000000013,346.1920000000002,349.47000000000014,352.61600000000016,355.89300000000014,359.04000000000013,362.31100000000015,365.45500000000015,368.7350000000001,371.8790000000001,375.14900000000017,378.2930000000002,381.55900000000014,384.69800000000015,387.95800000000014,391.097,394.355,397.491,400.75199999999995,403.88,407.13699999999994,410.273,413.526,416.656,419.911,423.03699999999986,426.28799999999984,429.4139999999999,432.65799999999984,435.78099999999984,439.02799999999985,442.14799999999985,445.3929999999999,448.51399999999984,451.7559999999999,454.87599999999986,458.11599999999976,461.23799999999983,464.47799999999984,467.59599999999983,470.8329999999997,473.95499999999976,477.19099999999975,480.30499999999984,483.54599999999976,486.66899999999976,489.90899999999976,493.02999999999975,496.2729999999997,499.3959999999997,502.6359999999996,505.7549999999997,508.9919999999997,512.1159999999996,515.3589999999997,518.4789999999996,521.7169999999996,524.8419999999994,528.0829999999995,531.2019999999994,534.4379999999994,537.5549999999995,540.7859999999995,543.9029999999996,547.1359999999995,550.2579999999996,553.4899999999997,556.6049999999996,559.8399999999996,562.9589999999995,566.1829999999994,569.2979999999994,572.5259999999995,575.6389999999997,578.8659999999994,581.9799999999996,585.2009999999996,588.3139999999995,591.5349999999995,594.6449999999994,597.8659999999992,600.9789999999992,604.1969999999992,607.3109999999994,610.5269999999992,613.6379999999994,616.8569999999993,619.9689999999993,623.1819999999992,626.2979999999992,629.5129999999994,632.6279999999992,635.8429999999993,638.9579999999993,642.1709999999993,645.2839999999992,648.4949999999992,651.6049999999992,654.8119999999992,657.9199999999993,661.1249999999992,664.2339999999994,667.4349999999993,670.5369999999994,673.7349999999992,676.8409999999992,680.031999999999,683.1409999999993,686.3369999999992,689.4389999999993,692.6349999999992,695.7329999999993,698.9249999999989,702.0259999999989,705.2169999999991,708.3179999999991,711.5119999999989,714.6129999999989,717.7999999999989,720.9029999999991,724.0939999999989,727.1959999999991,730.3869999999989,733.4839999999989,736.6709999999989,739.7679999999991,742.9559999999991,746.0459999999989,749.2369999999991,752.3279999999991,755.5149999999991,758.6019999999991,761.7919999999991,764.8789999999991,768.0699999999989,771.1559999999989,774.3389999999989,777.4299999999989,780.6169999999989,783.7019999999991,786.8879999999991,789.9729999999989,793.1529999999991,796.2359999999991,799.4209999999989,802.5049999999991,805.691999999999,808.7779999999991,811.9609999999989,815.0449999999989,818.225999999999,821.3089999999988,824.4909999999987,827.5739999999988,830.7539999999989,833.836999999999,837.0159999999988,840.0979999999988,843.2749999999987,846.3549999999989,849.5359999999988,852.619999999999,855.7989999999987,858.8739999999989,862.0569999999989,865.1359999999988,868.311999999999,871.3919999999988,874.5709999999989,877.6499999999987,880.8289999999988,883.9069999999988,887.0809999999989,890.1619999999988,893.3359999999989,896.4079999999989,899.5839999999988,902.6609999999988,905.8319999999987,908.9079999999988,912.0789999999988,915.1509999999988,918.3209999999988,921.3959999999988,924.5629999999987,927.6369999999988,930.8029999999987,933.8709999999987,937.0399999999988,940.1089999999988,943.2749999999987,946.3449999999988,949.5109999999988,952.5789999999988,955.7459999999987,958.8119999999988,961.9769999999987,965.0459999999988,968.2109999999988,971.2759999999988,974.4449999999988,977.5119999999988,980.6749999999988,983.7409999999987,986.9059999999988,989.9709999999988,993.1349999999987,996.1989999999988,999.3639999999988,1002.4309999999988,1005.5959999999988,1008.6629999999988,1011.8279999999987,1014.8909999999988,1018.0539999999987,1021.1179999999988,1024.2829999999988,1027.344999999999,1030.507999999999,1033.5719999999988,1036.7349999999988,1039.7999999999988,1042.9629999999988,1046.0169999999987,1049.1829999999989,1052.2419999999988,1055.3999999999983,1058.4569999999987,1061.6149999999989,1064.6709999999987,1067.8309999999988,1070.8859999999986,1074.0429999999988,1077.1029999999987,1080.2569999999987,1083.3069999999989,1086.4649999999988,1089.516999999999,1092.6689999999987,1095.7229999999988,1098.8769999999988,1101.9279999999987,1105.0799999999988,1108.1289999999988,1111.2769999999987,1114.3299999999988,1117.4829999999988,1120.5299999999988,1123.6849999999988,1126.7329999999988,1129.8799999999987,1132.9289999999987,1136.074999999999,1139.122999999999,1142.2749999999987,1145.3209999999988,1148.469999999999,1151.5189999999989,1154.6679999999988,1157.7069999999987,1160.8559999999989,1163.900999999999,1167.0479999999989,1170.093999999999,1173.2409999999988,1176.286999999999,1179.4369999999988,1182.4809999999989,1185.6249999999984,1188.671999999999,1191.8189999999984,1194.8599999999988,1198.0089999999989,1201.0529999999985,1204.1979999999987,1207.2409999999988,1210.382999999999,1213.4239999999988,1216.5709999999988,1219.611999999999,1222.7539999999988,1225.795999999999,1228.9369999999988,1231.9749999999988,1235.1169999999988,1238.1559999999988,1241.294999999999,1244.333999999999,1247.468999999999,1250.5059999999992,1253.642999999999,1256.6779999999987,1259.8139999999992,1262.852999999999,1265.9899999999989,1269.0209999999988,1272.1599999999992,1275.1959999999988,1278.3339999999992,1281.367999999999,1284.502999999999,1287.5359999999991,1290.6699999999992,1293.7009999999989,1296.8279999999988,1299.859999999999,1302.9869999999992,1306.011999999999,1309.136999999999,1312.1619999999991,1315.2869999999991,1318.312999999999,1321.4389999999992,1324.466999999999,1327.5949999999993,1330.6199999999992,1333.7469999999992,1336.7759999999996,1339.9049999999988,1342.9279999999992,1346.0569999999989,1349.0829999999996,1352.2079999999996,1355.2349999999992,1358.3619999999996,1361.3889999999992,1364.5169999999996,1367.5409999999993,1370.6619999999996,1373.6869999999994,1376.8109999999995,1379.8289999999995,1382.9509999999993,1385.9719999999993,1389.0889999999995,1392.1099999999994,1395.2279999999994,1398.2499999999993,1401.3699999999994,1404.3919999999996,1407.5069999999996,1410.5329999999994,1413.6509999999996,1416.6709999999996,1419.7919999999995,1422.8120000000001,1425.9279999999999,1428.9470000000001,1432.065,1435.085,1438.2030000000002,1441.2230000000004,1444.3390000000004,1447.3650000000002,1450.4830000000004,1453.5060000000005,1456.6270000000006,1459.6520000000005,1462.7690000000007,1465.7940000000006,1468.9140000000007,1471.9410000000007,1475.0630000000006,1478.0870000000007,1481.207000000001,1484.2340000000006,1487.354000000001,1490.3770000000006,1493.498000000001,1496.5240000000013,1499.6440000000011,1502.6710000000012,1505.7890000000011,1508.8160000000012,1511.9350000000009,1514.9580000000012,1518.0750000000016,1521.1060000000011,1524.2260000000015,1527.2500000000016,1530.3710000000015,1533.4000000000015,1536.5200000000011,1539.5480000000016,1542.6670000000015,1545.6920000000016,1548.8150000000014,1551.8400000000015,1554.9600000000016,1557.9920000000016,1561.1120000000014,1564.1380000000022,1567.2610000000018,1570.286000000002,1573.4030000000018,1576.4280000000022,1579.547000000002,1582.5690000000022,1585.6880000000021,1588.710000000002,1591.827000000002,1594.8520000000021,1597.9710000000025,1600.9930000000024,1604.1150000000025,1607.1400000000024,1610.2590000000025,1613.2820000000024,1616.3960000000022,1619.4170000000024,1622.5320000000024,1625.5510000000027,1628.6640000000025,1631.6840000000025,1634.7970000000028,1637.8130000000028,1640.9260000000031,1643.9430000000027,1647.0530000000028,1650.0670000000027,1653.1750000000027,1656.1870000000029,1659.297000000003,1662.3090000000034,1665.4150000000034,1668.4280000000033,1671.5340000000033
major+log_grd,105.0,107.454,110.751,114.272,118.094,121.555,125.302,128.707,132.423,135.815,139.516,142.889,146.566,149.918,153.57,156.912,160.546,163.88099999999997,167.495,170.81900000000002,174.418,177.738,181.326,184.63900000000004,188.21600000000007,191.5180000000001,195.07900000000006,198.37800000000007,201.93600000000006,205.2270000000001,208.76100000000002,212.0480000000001,215.57000000000005,218.84700000000007,222.36000000000007,225.63500000000005,229.14400000000006,232.41400000000004,235.9170000000001,239.18700000000007,242.68800000000005,245.94600000000008,249.43600000000006,252.69400000000007,256.1700000000001,259.42500000000007,262.8950000000001,266.14700000000005,269.61800000000005,272.8760000000001,276.3280000000001,279.5800000000001,283.0320000000001,286.2840000000001,289.7290000000001,292.9780000000001,296.4120000000001,299.67200000000014,303.1080000000001,306.35700000000014,309.7800000000001,313.0340000000001,316.4540000000001,319.71300000000014,323.1320000000001,326.3700000000001,329.7740000000001,333.0190000000001,336.4110000000001,339.64800000000014,343.0310000000001,346.2640000000002,349.65300000000013,352.87800000000016,356.26000000000016,359.4830000000002,362.8580000000002,366.07800000000015,369.44500000000016,372.65500000000014,376.00300000000016,379.20300000000015,382.55100000000016,385.7480000000001,389.0870000000001,392.27300000000014,395.61300000000006,398.79800000000006,402.12000000000006,405.294,408.61199999999997,411.786,415.103,418.26300000000003,421.57199999999995,424.726,428.032,431.17999999999984,434.4669999999999,437.60799999999983,440.8919999999998,444.02599999999984,447.3029999999998,450.44699999999983,453.72099999999983,456.8589999999999,460.1429999999999,463.2799999999999,466.55499999999984,469.69299999999987,472.9619999999999,476.10099999999983,479.37099999999975,482.50399999999985,485.76699999999977,488.90199999999976,492.16099999999983,495.28999999999985,498.5469999999997,501.67899999999975,504.9319999999997,508.0589999999997,511.30299999999977,514.4139999999999,517.6459999999997,520.7479999999997,523.9749999999997,527.0849999999996,530.3109999999996,533.4129999999997,536.6339999999997,539.7479999999995,542.9659999999997,546.0679999999994,549.2699999999994,552.3749999999994,555.5789999999995,558.6849999999995,561.8859999999995,564.9939999999996,568.1979999999994,571.3019999999996,574.4969999999995,577.5989999999995,580.7899999999995,583.8869999999994,587.0789999999995,590.1719999999995,593.3609999999992,596.4489999999993,599.6399999999992,602.7239999999993,605.9099999999993,608.9839999999994,612.1649999999993,615.2429999999993,618.4249999999993,621.4989999999992,624.6719999999992,627.7449999999992,630.9209999999993,633.9869999999993,637.1579999999992,640.2229999999993,643.3939999999992,646.4519999999992,649.6179999999993,652.6769999999992,655.8369999999992,658.8889999999992,662.0509999999992,665.1089999999992,668.2609999999993,671.3129999999992,674.462999999999,677.5249999999992,680.669999999999,683.728999999999,686.8739999999991,689.9309999999989,693.0749999999989,696.1319999999989,699.2779999999991,702.3389999999989,705.4839999999989,708.5299999999991,711.6659999999989,714.7129999999989,717.8469999999991,720.8989999999991,724.0229999999991,727.0649999999989,730.1829999999991,733.2239999999989,736.3339999999989,739.3719999999989,742.4789999999989,745.5019999999989,748.5989999999989,751.6179999999989,754.7139999999989,757.7239999999989,760.8109999999989,763.8269999999991,766.9169999999991,769.9249999999989,773.0149999999991,776.0189999999991,779.1049999999991,782.1089999999989,785.1899999999989,788.1939999999989,791.2709999999988,794.268999999999,797.3429999999988,800.3449999999989,803.4239999999987,806.4239999999987,809.5019999999988,812.499999999999,815.5729999999987,818.557999999999,821.6209999999987,824.6089999999988,827.667999999999,830.6509999999988,833.7109999999989,836.6939999999988,839.7489999999989,842.7279999999988,845.778999999999,848.7589999999989,851.8049999999988,854.7779999999989,857.8239999999988,860.797999999999,863.8429999999988,866.8069999999989,869.850999999999,872.8209999999989,875.8629999999988,878.8309999999989,881.869999999999,884.8359999999989,887.8629999999988,890.8199999999988,893.8549999999989,896.811999999999,899.845999999999,902.7989999999987,905.8329999999988,908.7899999999988,911.8189999999988,914.7679999999988,917.8069999999988,920.7669999999988,923.7969999999988,926.7449999999988,929.7739999999988,932.7279999999988,935.7509999999987,938.6979999999987,941.7129999999988,944.6559999999988,947.6709999999988,950.6179999999988,953.6379999999988,956.5849999999988,959.5969999999987,962.5349999999988,965.5469999999988,968.4819999999988,971.4899999999988,974.4209999999988,977.4299999999988,980.3619999999988,983.3629999999988,986.2899999999988,989.2879999999988,992.2219999999987,995.2229999999988,998.1519999999988,1001.1559999999988,1004.0829999999988,1007.0739999999988,1009.9959999999987,1012.9919999999988,1015.9209999999988,1018.9099999999988,1021.8339999999988,1024.8219999999988,1027.7419999999988,1030.7259999999987,1033.6479999999988,1036.6359999999988,1039.5569999999989,1042.5269999999987,1045.4419999999986,1048.4069999999986,1051.3229999999983,1054.2829999999983,1057.1929999999986,1060.1509999999987,1063.0639999999987,1066.017999999999,1068.9229999999986,1071.8689999999986,1074.7799999999988,1077.7299999999989,1080.631999999999,1083.5789999999988,1086.4839999999988,1089.4229999999986,1092.313999999999,1095.2499999999989,1098.1429999999993,1101.073999999999,1103.9589999999992,1106.888999999999,1109.7829999999988,1112.704999999999,1115.5869999999989,1118.514999999999,1121.397999999999,1124.3179999999988,1127.1989999999992,1130.120999999999,1133.003999999999,1135.915999999999,1138.800999999999,1141.715999999999,1144.600999999999,1147.5109999999988,1150.389999999999,1153.2949999999992,1156.1789999999992,1159.090999999999,1161.9729999999988,1164.8729999999991,1167.7499999999989,1170.6519999999991,1173.5269999999991,1176.424999999999,1179.2969999999993,1182.1929999999988,1185.0649999999991,1187.954999999999,1190.820999999999,1193.7079999999992,1196.571999999999,1199.465999999999,1202.3259999999989,1205.213999999999,1208.078999999999,1210.974999999999,1213.840999999999,1216.7289999999991,1219.5849999999991,1222.4629999999988,1225.3189999999993,1228.2009999999989,1231.0559999999991,1233.934999999999,1236.7999999999993,1239.6779999999992,1242.5379999999996,1245.4089999999997,1248.2669999999996,1251.1349999999993,1253.9839999999992,1256.8439999999996,1259.6899999999996,1262.5489999999993,1265.3929999999996,1268.2479999999996,1271.0889999999995,1273.9449999999995,1276.7899999999995,1279.6469999999995,1282.4929999999995,1285.3539999999996,1288.1989999999996,1291.0459999999996,1293.8829999999996,1296.7349999999994,1299.5639999999996,1302.4119999999996,1305.2389999999996,1308.0849999999996,1310.9139999999995,1313.7609999999995,1316.5779999999995,1319.4179999999994,1322.2399999999996,1325.0779999999995,1327.8919999999996,1330.7289999999996,1333.5429999999994,1336.3769999999995,1339.188,1342.025,1344.838,1347.68,1350.4820000000002,1353.318,1356.122,1358.9560000000001,1361.7579999999998,1364.5910000000001,1367.396,1370.229,1373.0360000000005,1375.864,1378.668,1381.497,1384.3010000000004,1387.1280000000006,1389.9280000000006,1392.7590000000007,1395.5620000000006,1398.3910000000005,1401.1900000000005,1404.0160000000005,1406.8170000000007,1409.6500000000005,1412.4500000000005,1415.2830000000006,1418.0780000000007,1420.9030000000007,1423.6940000000006,1426.5230000000006,1429.3120000000008,1432.1380000000006,1434.9340000000007,1437.760000000001,1440.5430000000008,1443.365000000001,1446.1560000000006,1448.971000000001,1451.748000000001,1454.5640000000012,1457.3480000000009,1460.1590000000012,1462.9440000000009,1465.7550000000015,1468.5320000000008,1471.3420000000015,1474.1180000000013,1476.9220000000016,1479.6990000000014,1482.5050000000015,1485.2750000000015,1488.0840000000014,1490.8600000000015,1493.6640000000016,1496.4310000000016,1499.2340000000013,1501.9970000000014,1504.8060000000016,1507.5740000000014,1510.3760000000016,1513.1500000000021,1515.9490000000021,1518.710000000002,1521.5150000000021,1524.2820000000022,1527.0810000000022,1529.8480000000022,1532.6430000000025,1535.403000000002,1538.1950000000024,1540.9530000000022,1543.7480000000025,1546.5130000000024,1549.3110000000024,1552.0690000000022,1554.8620000000024,1557.6230000000025,1560.4160000000024,1563.1820000000025,1565.9810000000025,1568.7420000000025,1571.5310000000025,1574.2870000000025,1577.0730000000024,1579.8370000000025,1582.6220000000023,1585.3790000000026,1588.1590000000024,1590.9160000000031,1593.6920000000027,1596.4520000000027,1599.230000000003,1601.991000000003,1604.767000000003,1607.527000000003,1610.306000000003,1613.064000000003,1615.8440000000035
